display_name,language_code,primary_type,latitude,longitude,rating,user_ratings_total
Nou Manolín,ca,mediterranean_restaurant,38.3452913,-0.48516420000000005,4.6,4371
McDonald's,en,fast_food_restaurant,38.3438689,-0.4825267,3.7,5826
Puntapiedra,es,restaurant,38.351937199999995,-0.46633620000000003,3.5,1072
La Taberna del Gourmet,es,mediterranean_restaurant,38.3444729,-0.4816046,4.3,4167
Tairyo Kaiten Sushi,es,restaurant,38.344363799999996,-0.48562249999999996,4.3,1166
In Bocca Al Lupo Alicante,en,italian_restaurant,38.345110999999996,-0.48270500000000005,4.4,2653
RESTAURANTE EL BUEN COMER,es,spanish_restaurant,38.344829,-0.482477,4.2,3310
Restaurant Piripi,ca,restaurant,38.3423289,-0.4940293,4.4,3578
Natsu Ramen,es,ramen_restaurant,38.341129800000004,-0.4931201,4.7,3117
Restaurant KFC,ca,restaurant,38.345104299999996,-0.48341370000000006,3.7,3445
La Tasca Del Barrio,en,restaurant,38.346293599999996,-0.48336989999999996,4.5,2429
Manero Alicante - Manero Mollá,es,bar,38.34390080000001,-0.48393759999999997,4.5,3745
Restaurant Dàrsena,ca,mediterranean_restaurant,38.3384261,-0.4868109,4.2,2812
El Portal Alicante - Krug Ambassade,es,spanish_restaurant,38.3439835,-0.4836804,4.4,3504
Colombiapan Alicante Comida Latina,es,restaurant,38.3485983,-0.48735920000000005,4.3,2378
El Garaje Bar Alicante,en,bar,38.3437725,-0.48539640000000006,4.4,4140
Mish Mish,en,restaurant,38.3468553,-0.48364029999999997,4.4,3790
Sibuya Urban Sushi Bar,es,japanese_restaurant,38.348095799999996,-0.48547270000000003,4.7,3880
Five Guys Alicante Rambla,es,hamburger_restaurant,38.3454675,-0.4835667,4.2,1230
Taco Bell,en,fast_food_restaurant,38.3454464,-0.48402900000000004,3.9,2867
