display_name,language_code,primary_type,latitude,longitude,rating,user_ratings_total
Restaurante Mesón El Granaino,es,restaurant,38.2672737,-0.7047749,4.6,2536
Mestizaje by Tomás López,es,restaurant,38.2644376,-0.6984902,4.5,2577
VAXTO,es,restaurant,38.264621999999996,-0.6987066,4.5,677
Restaurante Sansano'S,es,restaurant,38.2579987,-0.7034474,4.4,3111
La Papaya Rapid Food,es,restaurant,38.2688217,-0.7034112,4.4,415
Monumental,ca,mediterranean_restaurant,38.2662926,-0.6973699000000001,4.2,2486
Flamingo Brunch & Food,es,brunch_restaurant,38.2668458,-0.7022524,4.3,422
AIRES Burger Bar | Hamburguesería en Elche,es,hamburger_restaurant,38.2653645,-0.6977046,4.6,5416
Burger King,es,fast_food_restaurant,38.2725048,-0.6911375,4.2,670
La Latina Restaurante,es,restaurant,38.268495900000005,-0.6955484,4.5,211
Himawari Ramen,es,japanese_restaurant,38.2635125,-0.6950274,4.7,1078
Saona Elche,es,restaurant,38.265474399999995,-0.6982292,4.0,1468
CIRCO Elche Centro,es,hamburger_restaurant,38.2646124,-0.6987112,4.6,706
Restaurante KFC,es,restaurant,38.2661946,-0.6957422,4.2,370
Restaurante La Sabata,ca,restaurant,38.2582115,-0.7078162,4.1,1980
Restaurante Yaho,es,restaurant,38.2630932,-0.6949002999999999,4.1,1465
Lazy Lucy Burger,es,hamburger_restaurant,38.2634833,-0.6990483,4.4,263
Domino's Pizza,ca,pizza_restaurant,38.268421,-0.7082260000000001,4.0,1553
Cattleya Delicias Colombianas,es,restaurant,38.269945199999995,-0.7068141,3.8,555
Restaurante El Granero,es,restaurant,38.2712436,-0.6875142,4.4,767
