display_name,language_code,primary_type,latitude,longitude,rating,user_ratings_total
La Sitarilla,es,bar,37.173380099999996,-3.6035599,4.6,5862
Restaurante Los Manueles,es,spanish_restaurant,37.1763525,-3.5968756999999996,4.4,16862
Bodegas Castañeda,es,restaurant,37.1768636,-3.5969900999999997,4.1,9268
Bar La Riviera,es,bar,37.177338999999996,-3.5975029999999997,4.5,10586
Bar los diamantes,en,bar,37.1766076,-3.5959423,4.3,11923
McDonald's,en,fast_food_restaurant,37.1765538,-3.5977987,4.1,294
El Pescaíto de Carmela,es,seafood_restaurant,37.1757316,-3.6008172,4.4,6172
La Buena Vida,es,bar,37.1767427,-3.5972271000000005,4.3,3430
Lemon Rock Granada - Bar restaurante,en,restaurant,37.1770303,-3.6038549,4.4,6060
Los Manueles Restaurante Catedral,en,restaurant,37.1765475,-3.6000766999999994,4.6,4735
La Auténtica Carmela,en,spanish_restaurant,37.1755875,-3.5964598999999997,4.4,5248
Los Diamantes,en,bar,37.1737424,-3.5983612,4.5,4350
Restaurante La Mimbre,es,restaurant,37.1745194,-3.5850503000000002,3.5,1341
Mementomori,es,restaurant,37.1773982,-3.6017852999999995,4.1,2246
Burger King,es,fast_food_restaurant,37.1736165,-3.5998647,3.7,6947
Restaurante Carmen El Agua,es,restaurant,37.1799806,-3.5930139,4.5,3087
Il Gondoliere (centro),es,pizza_restaurant,37.1721056,-3.6042639,4.4,5829
La Bodega de Antonio,en,restaurant,37.1744614,-3.6027646,4.3,2685
Restaurante Casa Torcuato,es,spanish_restaurant,37.1839874,-3.5936414,4.4,4281
Aliatar,en,restaurant,37.1744226,-3.5993534999999994,4.5,2867
