name,address,rating,user_ratings_total,price_level,business_status,lat,lng,open_now
Col·legi Sant Josep de Calassanç,"Carrer Ruperto Chapí, 17, Elx",4.0,6,,OPERATIONAL,38.266376,-0.7033168,True
CEIP Miguel de Unamuno,"Passeig de les Germanies, 32, Elx",3.8,13,,OPERATIONAL,38.2620617,-0.7026981999999999,True
Col·legi Públic Ferrández Cruz,"Carrer l'Alpuixarra, 11, Elx",3.4,13,,OPERATIONAL,38.2676553,-0.694153,True
CEIP Luis Cernuda,"Carrer Nuestra Señora de la Cabeza, 3, Elx",4.6,12,,OPERATIONAL,38.2694321,-0.6952902,N/A
CEIP Hispanitat,"C/ Curtidors, 7, Elx",4.5,13,,OPERATIONAL,38.2620262,-0.6935458,True
CEIP Baix Vinalopó,"Carrer Dr. Caro, 84, Elx",3.9,27,,OPERATIONAL,38.2706949,-0.7006292,True
Col·legi Santa Maria Filles de Jesús,"Avinguda en Joan Carles I, 30, Elx",3.6,52,,OPERATIONAL,38.2663891,-0.6919531999999999,True
CEIP Candalix,"Carrer Nuestra Señora de la Cabeza, 5, Elx",4.6,12,,OPERATIONAL,38.2702445,-0.6955366,False
Col·legi Sant Rafael - Salesians Elx,"Carrer Porta de la Morera, 24, Elx",4.5,41,,OPERATIONAL,38.26311889999999,-0.6910335,True
CEIP Verge de l’Assumpció,"Carrer del Capità Antoni Mena, 31, Elx",4.6,14,,OPERATIONAL,38.2650765,-0.7078049,True
CEIP Reyes Católicos,"Carrer Fray Luis de León, 9, Elx",3.9,10,,OPERATIONAL,38.258575,-0.6965918999999999,True
CEIP el Palmeral,"Carrer l'Avet, 2, Elx",4.2,24,,OPERATIONAL,38.262741,-0.6885753,True
Centro Concertado Lope De Vega,"C. Rafael Sánchez Ceva, 8, Elche",4.5,33,,OPERATIONAL,38.273368,-0.7025965,True
CEIP Francisco Giner de los Ríos,"Plaça de Barcelona, 7, Elx",4.9,14,,OPERATIONAL,38.2723587,-0.7062786,True
Col·legi Públic Francesc Cantó,"Carrer Pedro Moreno Sastre, 34, Elx",4.6,8,,OPERATIONAL,38.2705401,-0.7103916,True
CEIP León Felipe,"Carrer Arístides Botella Torres, 1, Elx",4.5,17,,OPERATIONAL,38.2699367,-0.7109040000000001,True
Col·legi Públic L'Alcúdia,"C. Pere Joan Perpinyà, 83, Elx",4.3,24,,OPERATIONAL,38.2590512,-0.7102529,True
Col·legi Públic Dama d'Elx,"Carrer Antonio Moya Albaladejo, 23, Elx",4.5,11,,OPERATIONAL,38.2552799,-0.7051739,True
