name,address,rating,user_ratings_total,price_level,business_status,lat,lng,open_now
Colegio Diocesano San Isidoro,"C. Mateos Gago, 32, Sevilla",4.8,57,,OPERATIONAL,37.3866015,-5.9898166,False
Colegio Público San Isidoro,"C. Mesón del Moro, 3, Sevilla",2.7,10,,OPERATIONAL,37.3863184,-5.9898807,True
Colegio Itálica,"C. Arguijo, 5, Sevilla",4.7,32,,OPERATIONAL,37.39323700000001,-5.993175,True
Colegio Sagrado Corazón - Esclavas,"C. Virgen de los Buenos Libros, 2, Sevilla",4.6,30,,OPERATIONAL,37.393977,-5.9976144,True
Colegio Internacional de Sevilla - San Francisco de Paula,"C. Alcázares, 8, Sevilla",3.5,77,,OPERATIONAL,37.3935373,-5.9909151,True
Colegio Sagrado Corazón En Sevilla Esclavas Del Divino Corazón Provincia Sur,"C. Jesús de la Vera-Cruz, 18, Sevilla",3.7,10,,OPERATIONAL,37.3947512,-5.998175199999999,N/A
Colegio Cristo Rey Sevilla,"C. Betis, 51, Sevilla",4.3,72,,OPERATIONAL,37.3824554,-5.9992261,True
Centro educativo Ángela Guerrero,"C. Doña María Coronel, 13, Sevilla",4.4,18,,OPERATIONAL,37.3941292,-5.9893203,N/A
CEIP José María del Campo,"C. Pagés del Corro, 115, Sevilla",4.5,92,,OPERATIONAL,37.3827247,-6.0024365,N/A
Private Teaching Center St. Tomás de Aquino,"C. Recaredo, 31, Sevilla",4.3,32,,OPERATIONAL,37.3915045,-5.9843155,N/A
Colegio Calderón de la Barca / Centro Concertado,"C. Castellar, 52, Sevilla",4.2,31,,OPERATIONAL,37.3963004,-5.988777799999999,True
Colegio Nuestra Señora del Rosario,"C. Pagés del Corro, 32, Sevilla",4.6,34,,OPERATIONAL,37.3854572,-6.007054,True
Private education center Luisa de Marillac,"C. Socorro, 18, Sevilla",4.7,98,,OPERATIONAL,37.3956156,-5.9870326,True
College of Education and Primary Jardines del Valle,"C. Recaredo, 41, Sevilla",4.2,52,,OPERATIONAL,37.39250020000001,-5.984203099999999,False
Carmen Benítez Public School,"Pl. Carmen Benítez, 2, Sevilla",3.8,9,,OPERATIONAL,37.3907235,-5.9831979,N/A
Colegio Mª Auxiliadora Salesianas San Vicente,"C. San Vicente, 95, Sevilla",4.3,55,,OPERATIONAL,37.3988044,-5.9986099,True
Colegio Maristas San Fernando,"Pl. Marcelino Champagnat, s/n, Sevilla",3.9,72,,OPERATIONAL,37.3791277,-6.0014889,True
Colegio Concertado Santa Isabel. RR. Filipenses,"C. Hiniesta, 2, Sevilla",4.2,32,,OPERATIONAL,37.3968864,-5.9867442,True
Colegio Ntra. Sra. de la Merced,"C. San Vicente, 104, Sevilla",4.9,12,,OPERATIONAL,37.3998288,-5.9980176,True
Salesianos Triana,"C. Condes de Bustillo, 17, Sevilla",4.8,234,,OPERATIONAL,37.3803525,-6.0075989,True
Colegio Oficial de Agentes Comerciales de Sevilla,"C. Orfila, 9, Sevilla",5.0,4,,OPERATIONAL,37.3931268,-5.993619499999999,True
College of Social Graduates of Sevilla,"C. Amor de Dios, 25, Sevilla",4.3,3,,OPERATIONAL,37.3948058,-5.9946514,True
CEIP San Jacinto,"C. Pagés del Corro, 88, Sevilla",4.6,38,,OPERATIONAL,37.3831834,-6.0050551,False
Centro Privado de Enseñanza Protectorado de la Infancia,"C. San Jacinto, 70, Sevilla",4.6,21,,OPERATIONAL,37.3828588,-6.0066476,N/A
La Salle La Purísima,"San Luis, 35, Sevilla",4.3,25,,OPERATIONAL,37.3980766,-5.9880261,N/A
College of the Holy Family-Carmelite Sisters of Charity,"C. Pozo, 4, Sevilla",4.7,49,,OPERATIONAL,37.4006498,-5.9897827,True
CEIP Calvo Sotelo,"C. Arroyo, 44, Sevilla",4.8,65,,OPERATIONAL,37.3952309,-5.980726600000001,N/A
St. Bernard Parish School,"C. Párroco José Álvarez Allende, s/n, Sevilla",3.1,25,,OPERATIONAL,37.3816269,-5.9808708,N/A
Colegio Santa Ana,"C. Padre Damián, 2, Sevilla",4.1,129,,OPERATIONAL,37.3755307,-6.000096099999999,True
