name,address,rating,user_ratings_total,price_level,business_status,lat,lng,open_now
Supermercado Hiperber Plaza de Madrid,"Carrer José Navarro Orts, 23, Elx",3.9,183,,OPERATIONAL,38.2695664,-0.7102704000000001,True
WWW.MULTIPRECIOS.NET,"Carrer Angel, 14, Elx",5.0,18,,OPERATIONAL,38.2624811,-0.6978478000000001,False
Supermercado Dialprix,"Carrer Poeta Miguel Hernandez, 78, Elx",3.8,69,,OPERATIONAL,38.264672,-0.7084100999999998,True
Supermercado Dialprix,"Carrer Major del Pla, 7, Elx",4.2,49,,OPERATIONAL,38.2629962,-0.7012227999999999,True
Supermercado Dialprix,"Jose Mª, Carrer Josep Maria Buck, 18, Elx",3.2,14,,OPERATIONAL,38.26727849999999,-0.7022453,True
Supermercado Hiperber Centro de Congresos,"Carrer Eugenio d'Ors, 2, Elx",4.2,126,,OPERATIONAL,38.2638922,-0.6949930999999999,True
Supermercado Dialprix,"Carrer Capità Lagier, 15, Elx",4.2,48,,OPERATIONAL,38.2673745,-0.6954988999999999,True
Supermercado Dialprix,"Carrer del Filet de Fora, 48, Elx",3.9,54,,OPERATIONAL,38.26202319999999,-0.6963038,True
Mercadona,"Carrer Cristóbal Sanz, 7, Elx",4.1,1929,,OPERATIONAL,38.2658443,-0.7039766,True
Supermercados Dia,"Carrer del Marquès d'Asprella, 30, Elx",4.1,152,,OPERATIONAL,38.2684179,-0.7023484999999999,True
Supermercado Dialprix,"Carrer Andreu Castillejos, 42, Elx",3.6,20,,OPERATIONAL,38.2632792,-0.7041529,True
Supermercado Dialprix,"Carrer de Teodor Llorente, 13, Elx",4.0,34,,OPERATIONAL,38.2702146,-0.7015739999999998,True
Supermercado Hiperber Conrado del Campo,"Carrer Conrado del Campo, 20, Elx",4.2,206,,OPERATIONAL,38.26142229999999,-0.7042541999999998,True
masymas,"Carrer Jorge Juan, 37, 39, Elx",4.1,369,,OPERATIONAL,38.2674688,-0.7059861,True
Supermercado Dialprix,"Carrer Antonio Machado, 32, Elx",4.0,78,,OPERATIONAL,38.2624118,-0.7065918999999999,True
Supermercado Hiperber Diagonal,"Carrer de la Diagonal, 34, 3º Izquierda, Elche",4.0,280,,OPERATIONAL,38.2722967,-0.7075787,True
Supermercado Hiperber Cashber Reina Victoria,"Carrer Capità Alfons Vives, 25, Elx",4.1,64,,OPERATIONAL,38.26552760000001,-0.7097699,False
MERCASIA FUXIN,"Carrer Mario Pastor Sempere, 72, ALICANTE",4.4,197,,OPERATIONAL,38.2712285,-0.7077970999999998,True
Supermercado Dialprix,"Carrer Antonio Martínez García, 50, Elx",3.5,15,,OPERATIONAL,38.2737776,-0.7032196000000001,True
Supermercado Spar Express,"Carrer la Torre, 91, Elx",4.3,35,,OPERATIONAL,38.2612971,-0.7099593,False
Supermercado Hiperber Sector Quinto,"Carrer Pere Joan Perpinyà, 67, Elx",4.2,268,,OPERATIONAL,38.2588011,-0.7095671999999998,True
Mercadona,"Carrer Olegario Domarco Seller, 93, Elx",4.2,1624,,OPERATIONAL,38.27115629999999,-0.7085695,True
Dicost Supermercado,"Carrer Pablo Picasso, 63, Elx",4.3,17,,OPERATIONAL,38.2558156,-0.7038979999999998,False
Supermercados Consum,"Carrer José Mas Esteve, 47, Elx",4.3,422,,OPERATIONAL,38.261459,-0.711444,True
24 horas diagonal Panaderia pastelería bolleria pizzería,"Carrer de la Diagonal, 60, Elx",4.0,73,,OPERATIONAL,38.2727394,-0.7091327999999999,True
Supermercados Dia,"Carrer Hilarión Eslava, 154, Elx",4.0,288,,OPERATIONAL,38.25528629999999,-0.7053216000000001,True
Lidl,"Avinguda de Dolores, 53, Elx",4.2,3262,,OPERATIONAL,38.25187599999999,-0.697197,True
Supermercado Dialprix,"Carrer Asunción Parreño García, 16, Elx",3.8,21,,OPERATIONAL,38.2708964,-0.7115012999999999,True
Supermercado Hiperber Espronceda,"Carrer Espronceda, 139, Elx",4.1,232,,OPERATIONAL,38.2552606,-0.7065840999999999,True
Mercadona,"Carrer Antonio Machado, 84, Elx",4.0,1037,,OPERATIONAL,38.2617041,-0.7139015000000001,True
Supermercados Dia,"Carrer Francisco Tomás y Valiente, 20, Elx",3.8,233,,OPERATIONAL,38.2760858,-0.7064933,True
